"paper_UID","original classification task","labels from human annotation","used original human annotation","used external human annotation data","original human annotation source","# of annotators specified","training for human annotators","formal instructions ","prescreening for crowdwork platforms","multiple annotator overlap","reported inter-annotator agreement","reported crowdworker compensation","link to dataset available","annot_score_normalized","annot_score_raw","corpus","keywords","venue_publisher","venue_type","venue_type_consol","venue_type_prepost_consol"
"86f69b5694cb44bcbe9cac2ffa7ffb68a7cae564","Yes","Unsure","No","Yes","","","","","","","","","","","","ArXiv","sentiment analysis","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"6e8dfc32704d786efc8793eaa124a00e8369e033","Yes","Yes","Yes","No","Other","Yes","No information","no instructions beyond question text","","Yes for all items","Yes","","No",0.7142857142857143,5.0,"ArXiv","user profiling; topic identification","ACM","Postprint of refereed conference proceeding","Conference","Postprint"
"bfbbeb9060281870d633e72d8c78202c52e2af83","Unsure","","","","","","","","","","","","","","","ArXiv","","ArXiv","","",""
"145b6be0c6197939951df1ca27e0338a657a8ef3","Yes","No","","","","","","","","","","","","","","ArXiv","user profiling; human geography; location detection","ACM","Preprint of refereed conference proceeding","Conference","Preprint"
"28ef422e0aa1c3c345c335f9ea21d89c8dae2f02","Yes","Yes","Yes","No","Other crowdwork","Yes","No information","instructions w/ formal definition or examples","Location qualification","Yes for some items","No","No","No",0.5555555555555556,5.0,"ArXiv","information quality","Springer","Postprint of refereed conference proceeding","Conference","Postprint"
"8377d1f7c29baa8edc9efc3c0e239d77afd3665d","No","","","","","","","","","","","","","","","ArXiv","search engine optimization","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"d51eaa15854a88e733ac347c371b14d17bd0d28c","Yes","No","","","","","","","","","","","","","","ArXiv","cultural studies; public opinion; user profiling; religion","Springer","Postprint of refereed conference proceeding","Conference","Postprint"
"888c5fc2bdc742820c058b659224f8a737954ceb","Yes","No","","","","","","","","","","","","","","ArXiv","cybersecurity; bot prediction; social influence; social networks","IEEE","Preprint of refereed conference proceeding","Conference","Preprint"
"747acebf5c8b2e06d2c633a66729279a40c23832","No","","","","","","","","","","","","","","","ArXiv","topic identification; recommender systems","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"2f6cab32af854c25f1557b9b3f94a7995433bc9b","Yes","No","","","","","","","","","","","","","","ArXiv","social computing; topic identification; sports; prediction markets","ACM","Preprint of refereed conference proceeding","Conference","Preprint"
"870bb891541d341d27050adec02984396f12da62","Yes","Yes","Yes","No","Academic experts / professionals","Yes","No information","No information","","No","","","No",0.5,3.0,"ArXiv","political science; public opinion; user profiling; terrorism","UIC","Preprint of refereed journal article","Journal","Preprint"
"305aa922ea65aabc8eefbe3d5953967164d640f8","Yes","Yes","No","Yes","","","","","","","","","","","","ArXiv","cybersecurity; spam prediction; social influence; user profiling","CEUR","Postprint of workshop paper","Workshop","Postprint"
"5465f183a539d5a49f608ee88d94801c008bf59d","Yes","Yes","Yes","No","No information","Yes","No information","instructions w/ formal definition or examples","","Yes for all items","No","","No",0.42857142857142855,3.0,"ArXiv","bot prediction","Elsevier","Postprint of refereed journal article","Journal","Postprint"
"7c448671c7179b834c92e40f697327066907cc30","Yes","Yes","No","Yes","","","","","","","","","","","","ArXiv","social computing; information quality","ACL","Postprint of refereed conference proceeding","Conference","Postprint"
"b38e387486a8b89db7436e6cdfe82b494671c4ab","Yes","Yes","Yes","No","Academic experts / professionals","Yes","some training details","No information","","Yes for all items","Yes","","No",0.7142857142857143,5.0,"ArXiv","sentiment analysis; figures of speech","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"e8a8a4c8cc90b6c80021687adb90ad18365402a0","Yes","Yes","Yes","No","Paper's authors","No","No information","instructions w/ formal definition or examples","","No information","","","No",0.3333333333333333,2.0,"ArXiv","public health; epidemology; public opinion; information quality","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"acee6b102a02198aac8146cb3facf9c01387c1fe","Yes","Yes","Yes","No","Paper's authors","No","No information","No information","","No information","","","Yes",0.3333333333333333,2.0,"ArXiv","public health; epidemology; public opinion; user profiling; information quality; social networks; social influence","Sage","Postprint of refereed journal article","Journal","Postprint"
"daede69e70113edafb82260c3da7cef9292573ef","Yes","No","","","","","","","","","","","","","","ArXiv","social influence; social networks; information propagation","Elsevier","Postprint of refereed journal article","Journal","Postprint"
"6b1dd38e0e51a096f34e8d1ce6729d8730163a6c","Yes","Yes","No","Yes","","","","","","","","","","","","ArXiv","user profiling; social influence; social networks","Springer","Postprint of refereed journal article","Journal","Postprint"
"67822a2022d1254cd1e7ac070ed5e5d05f0d7721","Yes","No","","","","","","","","","","","","","","ArXiv","topic identification","ACM","Postprint of refereed conference proceeding","Conference","Postprint"
"ce4827f69086a48d00e85183d07d19ee657cfcae","Yes","No","","","","","","","","","","","","","","ArXiv","social networks; social influence; user profiling; terrorism","Springer","Postprint of refereed journal article","Journal","Postprint"
"6ea293c53769424c93b5cc1fb5d43d51197b0e26","No","","","","","","","","","","","","","","","ArXiv","topic identification","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"b05ec1490a87550f606d7602b0ed08ac133edb2d","Yes","Yes","Yes","No","No information","No","No information","No information","","No information","","","No",0.0,0.0,"ArXiv","topic identification; non-English","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"103c68ac6702ccb824c41c0f570372fd3f174ee6","No","","","","","","","","","","","","","","","ArXiv","sentiment analysis","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"ad81529cb5bfec208b0f799168a67fea36c9b190","Yes","Yes","No","Yes","","","","","","","","","","","","ArXiv","sentiment analysis","ACL","Preprint of refereed conference proceeding","Conference","Preprint"
"f2cc46c05e660e43331beb2ecca100749357a07a","No","","","","","","","","","","","","","","","ArXiv","sentiment analysis","PloS","Postprint of refereed journal article","Journal","Postprint"
"520693834cf51ed797abe74558287a0e6c6b385b","Yes","Yes","Yes","No","Mechanical Turk","Yes","No information","no instructions beyond question text","No information","Yes for all items","Yes","No","Yes",0.6666666666666666,6.0,"ArXiv","user profiling; human geography","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"417dbe678bdd741213ab9b5c27522ab2fd05243a","Yes","No","","","","","","","","","","","","","","ArXiv","cybersecurity; spam prediction; social networks","Elsevier","Postprint of refereed journal article","Journal","Postprint"
"670844a9968a0df542bf61b2f61ff42b7bb8e0e8","Yes","Yes","Yes","No","No information","Yes","No information","No information","","Yes for all items","Yes","","No",0.42857142857142855,3.0,"ArXiv","sentiment analysis","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"a8e8cd751d15eb5383ebe7208b4675b3f852a225","Yes","Yes","Yes","No","Other crowdwork","Yes","some training details","instructions w/ formal definition or examples","Project-specific prescreening","Yes for all items","Yes","No","No",0.7777777777777778,7.0,"ArXiv","sentiment analysis; stance detection","ACM","Postprint of refereed conference proceeding","Conference","Postprint"
"e1fd4bcdff73af3e37b6f0fcab120b763b24aef9","Yes","Yes","Yes","No","No information","Yes","No information","No information","","Yes for some items","Yes","","No",0.42857142857142855,3.0,"ArXiv","sentiment analysis; human geography","ACL","Preprint of workshop paper","Workshop","Preprint"
"6310dc819925b90fca852b9498bbff84ad2403cc","Yes","Yes","Yes","Yes","Other","Yes","No information","instructions w/ formal definition or examples","","No information","","","Yes",0.6666666666666666,4.0,"ArXiv","topic identification; crisis informatics","ACL","Postprint of workshop paper","Workshop","Postprint"
"eb7aa58d9eee0f1891fd099f0d411bbaefc08777","Yes","Yes","Yes","Yes","Academic experts / professionals","Yes","No information","No information","","No information","","","No",0.3333333333333333,2.0,"ArXiv","sentiment analysis; public opinion; political science","ACM","Postprint of refereed conference proceeding","Conference","Postprint"
"31fcb78af8b0db7ed6aaa1604d0908ca1258fb02","Yes","Yes","No","Yes","","","","","","","","","","","","ArXiv","user profiling; demographic prediction","ACM","Postprint of refereed conference proceeding","Conference","Postprint"
"7a997d6c35b3828dbf1979a19e63f5694047ff3f","Yes","Yes","Yes","No","Academic experts / professionals","Yes","No information","No information","","Yes for some items","Yes","","No",0.5714285714285714,4.0,"ArXiv","political science; elections; public opinion","Springer","Preprint of refereed journal article","Journal","Preprint"
"97e6822795433b21edf0f490082b8d3b1d30a30c","Yes","No","","","","","","","","","","","","","","ArXiv","public health; epidemology; user profiling","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"e44d9a97d086851c6f8f32e6ba2b5d89ce0d5843","Yes","No","","","","","","","","","","","","","","ArXiv","public health; epidemology","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"dc5bbd6d7841b8d35750bb77d3ab8d122b8a87f6","Yes","No","","","","","","","","","","","","","","ArXiv","social influence; social networks; user profiling","ACM","Postprint of refereed conference proceeding","Conference","Postprint"
"210d9b9058303150d382899f2f6ff85ac535c4df","Yes","No","","","","","","","","","","","","","","ArXiv","public health; epidemology","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"467728067c61937a50730024136b5dbbe51f1524","Yes","Yes","Yes","No","Mechanical Turk","Yes","No information","no instructions beyond question text","Project-specific prescreening","No","","No","No",0.625,5.0,"ArXiv","public health; epidemology; user profiling","Springer","Preprint of refereed journal article","Journal","Preprint"
"19901ee7078a1763bad06f6eee4e1fe32672f315","Yes","No","","","","","","","","","","","","","","ArXiv","language identification","ACL","Postprint of refereed conference proceeding","Conference","Postprint"
"909bf75112066f319be69ea4fbd183a342babb39","Yes","Yes","Yes","No","Other","Yes","No information","instructions w/ formal definition or examples","","Yes for all items","Yes","","No",0.7142857142857143,5.0,"ArXiv","cybersecurity; bot prediction","Springer","Preprint of refereed conference proceeding","Conference","Preprint"
"18c0ae1e7071238ddd4df5040e0b9649d78fe6f1","No","","","","","","","","","","","","","","","ArXiv","political science; bot prediction; public opinion; cybersecurity","Springer","Postprint of refereed conference proceeding","Conference","Postprint"
"31838531ae831c1cc96acf9e5d7dc0cc6c4ab7c9","Yes","Yes","No","Yes","","","","","","","","","","","","ArXiv","information quality; stance detection","ACL","Postprint of refereed conference proceeding","Conference","Postprint"
"593790317af3f0e22d13f2d14a4648c119e00afe","No","","","","","","","","","","","","","","","ArXiv","epidemology; public opinion","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"2acffaf886c0fcba387b2fa1e61e47e592bdab50","Yes","Yes","No","Yes","","","","","","","","","","","","ArXiv","crisis informatics; information quality; topic identification","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"4d83277f41150ed16f7f93c63ea8f59fb8f56991","Yes","Yes","No","Yes","","","","","","","","","","","","ArXiv","humor/irony detection","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"d856927d95f03d333881207b0640ecdead6d44c6","Yes","Yes","No","Yes","","","","","","","","","","","","ArXiv","criminal justice; user profiling","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"c5602264169ca8f649c78b58078edb0e55cd0966","Yes","Yes","Yes","No","No information","No","No information","No information","","No information","","","No",0.0,0.0,"ArXiv","sentiment analysis; finance; public opinion","IEEE","Postprint of refereed conference proceeding","Conference","Postprint"
"f3316ed9a474eac48e99162cb050fc93869e78c3","Yes","No","","","","","","","","","","","","","","ArXiv","computer vision; public opinion; user profiling; demographic prediction","Springer","Preprint of refereed conference proceeding","Conference","Preprint"
"f5326fb877583f4c821712b2b0647a22e3e7f229","Unsure","Unsure","","","","","","","","","","","","","","ArXiv","social networks","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"facdc6d2a728c2c41ba40f3b386e606ef9f06a8c","Yes","No","","","","","","","","","","","","","","ArXiv","humor/irony detection","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"0f59515175c0f6d1f81aa8590b67669bb23bdd37","Unsure","","","","","","","","","","","","","","","ArXiv","sentiment analysis","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"e24cbf1faaac741573fd734b6c2acc3f3e1a5472","Yes","No","","","","","","","","","","","","","","ArXiv","user profiling; stance detection; political science","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"7c7abcef023fbc16e5ecf29bb50a76e4acb4aff6","Yes","Unsure","Unsure","Yes","","","","","","","","","","","","ArXiv","stance detection; journalism","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"94deb78848c040d9cd6eabb6828f68a39d4293d6","Yes","No","","","","","","","","","","","","","","ArXiv","sentiment analysis","IEEE","Postprint of refereed conference proceeding","Conference","Postprint"
"e81e81ea5dad292a7ac54f73f3276ee9bc035ebf","Yes","Yes","Yes","No","Academic experts / professionals","Yes","No information","No information","","Yes for all items","Yes","","No",0.5714285714285714,4.0,"ArXiv","public health; epidemology; public opinion","JMIR","Preprint of refereed journal article","Journal","Preprint"
"216df8baadb446e35b5cdfc12580547c6065a009","Yes","Yes","No","Yes","","","","","","","","","","","","ArXiv","user profiling","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"a0ec6fed05d3a6fc7fba07c772cee75e0f76e9ea","Yes","Yes","Yes","No","Academic experts / professionals","Yes","some training details","instructions w/ formal definition or examples","","Yes for some items","Yes","","No",0.8571428571428571,6.0,"ArXiv","political science; public opinion; topic identification; crisis informatics","IEEE","Postprint of refereed conference proceeding","Conference","Postprint"
"b21429b538393f711d469ec94a9fc6579d5bbc7c","No","","","","","","","","","","","","","","","ArXiv","cybersecurity; topic identification","ACM","Preprint of refereed conference proceeding","Conference","Preprint"
"9fbf15db9b28d3555670ff4f1c4028d6b6bf9206","Yes","No","","","","","","","","","","","","","","ArXiv","public opinion; sentiment analysis","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"314dab67a8d933399828bb698751d158097c482c","Yes","No","","","","","","","","","","","","","","ArXiv","social networks; social influence","ACM","Postprint of refereed conference proceeding","Conference","Postprint"
"2081efb56bd203e60f269929c41b6a7ee622510a","Yes","Unsure","Unsure","Unsure","No information","No","No information","No information","","No information","","","No","","","ArXiv","stance detection","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"c33b780fe17bf0009685e79807522fac0e572f3b","Yes","Yes","Yes","No","Paper's authors","No","No information","No information","","No information","","","No",0.16666666666666666,1.0,"ArXiv","hate speech; content moderation","AAAI","Postprint of refereed conference proceeding","Conference","Postprint"
"70b93d56eca83353687d4ad450dd6d87c6233f5f","Yes","No","","","","","","","","","","","","","","ArXiv","user profiling; psychology; personality classification","Springer","Preprint of refereed journal article","Journal","Preprint"
"a71958568f8ac732664e7d0eeca1e2b3d56bc940","Yes","No","","","","","","","","","","","","","","ArXiv","public opinion; sentiment analysis","Springer","Preprint of refereed journal article","Journal","Preprint"
"c2469d4328bc0f793977ad76edaa5e5c2741884d","Yes","Yes","Yes","No","Other","Yes","some training details","instructions w/ formal definition or examples","","Yes for all items","Yes","","No",0.8571428571428571,6.0,"ArXiv","cybersecurity; bot prediction","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"8dc09bc43470c6502da20713fe1bd4f182145fec","Yes","No","","","","","","","","","","","","","","ArXiv","social networks; social influence","ACM","Postprint of refereed conference proceeding","Conference","Postprint"
"d6997d30a6c805f864b35e1243665b7bdcf3b969","Yes","Yes","Yes","No","Paper's authors","No","No information","No information","","No information","","","No",0.16666666666666666,1.0,"ArXiv","topic identification; human geography","IEEE","Postprint of refereed conference proceeding","Conference","Postprint"
"91c1a07b5f72a5d87fee5fbcdad65e2ef48a4c97","Yes","Yes","No","Yes","","","","","","","","","","","","ArXiv","sentiment analysis","Springer","Preprint of refereed conference proceeding","Conference","Preprint"
"de69cfa635160db3f1f8e8df40316e1771f488c7","Yes","Yes","Yes","No","Other crowdwork","Yes","No information","instructions w/ formal definition or examples","Project-specific prescreening","Yes for all items","Yes","No","No",0.6666666666666666,6.0,"ArXiv","public health; epidemology; information quality; public opinion","IEEE","Preprint of refereed conference proceeding","Conference","Preprint"
"268590d7ddb2efc2a93824a318002943aae1837c","Yes","Yes","Yes","No","Other","Yes","No information","instructions w/ formal definition or examples","","Yes for some items","Yes","","No",0.7142857142857143,5.0,"ArXiv","political science; public opinion; non-English; sockpuppet detection; user profiling","Springer","Postprint of refereed conference proceeding","Conference","Postprint"
"0873d51c6d16ada6d908dcb8d6f994090048600d","Yes","Yes","Yes","Yes","Academic experts / professionals","Yes","some training details","instructions w/ formal definition or examples","","Yes for all items","No","","No",0.7142857142857143,5.0,"ArXiv","political science; user profiling; sockpuppet detection; non-English","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"ccd707a6eceaf67c35ac87d77ba111bcef960c8a","Yes","No","","","","","","","","","","","","","","ArXiv","linguistic tagging; topic identification","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"05c0fb77bd44f977fba6050606e2f61cfc4c0888","No","","","","","","","","","","","","","","","ArXiv","computer vision; information quality","ACM","Postprint of refereed conference proceeding","Conference","Postprint"
"738d7bf985433d02295b8289e6130143be562f83","Yes","Yes","Yes","Unsure","Paper's authors","No","No information","No information","","No information","","","No",0.16666666666666666,1.0,"ArXiv","stance detection; political science; public opinion","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"0cf66b3a7b1c5f6dea36d4b64c6685ea56f4af5f","Yes","No","","","","","","","","","","","","","","ArXiv","humor/irony detection","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"eb87ae714b7367ff1886eacd55911e3c4a929bc0","Yes","No","","","","","","","","","","","","","","ArXiv","user profiling; demographic prediction","IEEE","Preprint of workshop paper","Workshop","Preprint"
"8ed1d1a7ecc69ed915a35ab1ca34946b9765204b","Yes","Yes","Yes","No","Mechanical Turk","Yes","No information","no instructions beyond question text","No information","Yes for all items","No","No","Yes",0.5555555555555556,5.0,"ArXiv","computer vision; human geography; protests; sentiment analysis; topic identification; user profiling; demographic prediction","ACM","Postprint of refereed conference proceeding","Conference","Postprint"
"fcb3d1c36d428a765a85ccd97dddb5662f962893","Yes","No","","","","","","","","","","","","","","ArXiv","social influence; recommender systems; social networks","ACM","Preprint of refereed conference proceeding","Conference","Preprint"
"ee467aa76bf0b730c91f959e411a9e95d7620f8b","Yes","Yes","Yes","Yes","No information","Yes","some training details","instructions w/ formal definition or examples","","Yes for some items","Yes","","No",0.7142857142857143,5.0,"ArXiv","hate speech; elections; political science","ACL","Postprint of refereed conference proceeding","Conference","Postprint"
